city_code,city_name,postal_code,department_code,latitude,longitude
2A001,Afa,20167,2A,41.980997611701284,8.797539671318008
2A004,Ajaccio,20000,2A,41.92269398617472,8.705767242137474
2A006,Alata,20167,2A,41.97016761920577,8.729354392184458
2A008,Albitreccia,20128,2A,41.85517744764631,8.87436371206988
2A011,Altagene,20112,2A,41.70974301807285,9.073657650285018
2A014,Ambiegna,20151,2A,42.08987392876508,8.768120450145343
2A017,Appietto,20167,2A,41.996481876004765,8.731037015200894
2A018,Arbellara,20110,2A,41.670481882032114,8.992634638310172
2A019,Arbori,20160,2A,42.12303978128658,8.795842334657713
2A021,Argiusta Moriccio,20140,2A,41.813767685067994,9.032509602767142
2A022,Arro,20151,2A,42.09792125830101,8.801096924778129
2A024,Aullene,20116,2A,41.81103453807392,9.092891105287974
2A026,Azilone Ampaza,20190,2A,41.8718189636904,9.014395780105776
2A027,Azzana,20121,2A,42.11715749633565,8.93310188867899
2A028,Balogna,20160,2A,42.185415696936914,8.750548022728045
2A031,Bastelica,20119,2A,41.97814186644962,9.055285138254145
2A032,Bastelicaccia,20129,2A,41.93265303346051,8.837142424004346
2A035,Belvedere Campomoro,20110,2A,41.61775512385644,8.822119172940805
2A038,Bilia,20100,2A,41.622229356861425,8.90481173484547
2A040,Bocognano,20136,2A,42.08711734731957,9.064648001190434
2A041,Bonifacio,20169,2A,41.42166734136087,9.1972948396198
2A048,Calcatoggio,20111,2A,42.03048400662552,8.730584921264127
2A056,Campo,20142,2A,41.890768423269186,9.001131306225176
2A060,Cannelle,20151,2A,42.04757474757767,8.81398591281571
2A061,Carbini,20170,2A,41.67787742387505,9.160065260772187
2A062,Carbuccia,20133,2A,42.0343424840941,8.93017175309595
2A064,Cardo Torgia,20190,2A,41.853339026063324,8.973518722219508
2A065,Cargese,20130,2A,42.1565179068058,8.62340479659097
2A066,Cargiaca,20164,2A,41.73021930968071,9.038468026873186
2A070,Casaglione,20111,2A,42.07001140154961,8.758025152700569
2A071,Casalabriva,20140,2A,41.75829256021902,8.91741853039414
2A085,Cauro,20117,2A,41.90359047414421,8.886071012181542
2A089,Ciamannacce,20134,2A,41.96946443719756,9.13183837509515
2A090,Coggia,20118,2A,42.10959849390012,8.739403332115995
2A091,Cognocoli Monticchi,20123,2A,41.80522821977398,8.868435522562846
2A092,Conca,20135,2A,41.75480542374885,9.319961488693988
2A094,Corrano,20168,2A,41.8828852509141,9.073247808050347
2A098,Coti Chiavari,20138,2A,41.76740721340187,8.741110157197319
2A099,Cozzano,20148,2A,41.93202562062069,9.184835504903083
2A100,Cristinacce,20126,2A,42.245818586419574,8.85754008606327
2A103,Cuttoli Corticchiato,20167,2A,41.977636635672525,8.884014522075233
2A104,Eccica Suarella,20117,2A,41.920438807225075,8.895595899404949
2A108,Evisa,20126,2A,42.284555546773205,8.826512452473484
2A114,Figari,20114,2A,41.51879801921895,9.126003060157673
2A115,Foce,20100,2A,41.62395722383371,9.035450226330415
2A117,Forciolo,20190,2A,41.84631766686181,9.015478123494873
2A118,Fozzano,20143,2A,41.701373249364835,8.99088495339266
2A119,Frasseto,20157,2A,41.919862692541976,9.036171014936901
2A127,Giuncheto,20100,2A,41.58627429505037,8.95820007475864
2A128,Granace,20100,2A,41.63994376813238,9.012328359999286
2A129,Grossa,20100,2A,41.60497470204707,8.857646221845343
2A130,Grosseto Prugna,20128,2A,41.88558528783406,8.875528195016624
2A131,Guagno,20160,2A,42.17715668432058,8.981269235360305
2A132,Guarguale,20128,2A,41.825061351981155,8.927025454514187
2A133,Guitera Les Bains,20153,2A,41.92671453523279,9.079718411861712
2A139,Lecci,20137,2A,41.659381963850265,9.310238496783656
2A141,Letia,20160,2A,42.21661360437112,8.875906373279342
2A142,Levie,20170,2A,41.66118174220476,9.108279462929385
2A144,Lopigna,20139,2A,42.08877602653317,8.85312936753393
2A146,Loreto Di Tallano,20165,2A,41.696283141369236,9.031433413077265
2A154,Marignana,20141,2A,42.20896802716608,8.719315544603873
2A158,Mela,20112,2A,41.68268304753808,9.09174418005609
2A160,Moca Croce,20140,2A,41.77856513885801,9.00631067491448
2A163,Monacia D Aullene,20171,2A,41.523270072855794,9.008265043254848
2A174,Murzo,20160,2A,42.15557481833069,8.849066536751796
2A181,Ocana,20117,2A,41.954696327733764,8.903337913716971
2A186,Olivese,20140,2A,41.83653484697827,9.070652164006473
2A189,Olmeto,20113,2A,41.71188102480603,8.89509267819166
2A191,Olmiccia,20112,2A,41.67004567620083,9.031065345777957
2A196,Orto,20125,2A,42.19835390589311,8.962559545440175
2A197,Osani,20147,2A,42.343481031755246,8.616532163661123
2A198,Ota,20150,2A,42.25370936144181,8.736197520806279
2A200,Palneca,20134,2A,41.99049461411157,9.186823431580613
2A203,Partinello,20147,2A,42.31505092264347,8.692129310181585
2A204,Pastricciola,20121,2A,42.14444689506425,9.014847193138865
2A209,Peri,20167,2A,42.00146318098795,8.909931637775507
2A211,Petreto Bicchisano,20140,2A,41.76570894606711,8.96291260503039
2A212,Piana,20115,2A,42.22330456419767,8.620758715812133
2A215,Pianottoli Caldarello,20131,2A,41.520853952195324,9.045644105360434
2A228,Pietrosella,20166,2A,41.82459098594741,8.807095869385236
2A232,Pila Canale,20123,2A,41.79166187321378,8.895008224838145
2A240,Poggiolo,20125,2A,42.1616293221788,8.89849591625871
